,sample_idx,segment_idx,start_idx,end_idx,y_idx,y,stratification_label,split
0,8887,0,0,130,6,grab,grab,train
1,1742,0,0,130,6,grab,grab,valid
2,9246,0,0,130,6,grab,grab,train
3,4523,0,0,130,6,grab,grab,train
4,9720,0,0,130,6,grab,grab,train
5,6276,0,0,130,6,grab,grab,train
6,2005,0,0,130,6,grab,grab,train
7,6195,0,0,130,6,grab,grab,train
8,1474,0,0,130,6,grab,grab,train
9,8981,0,0,130,6,grab,grab,train
10,2866,0,0,130,6,grab,grab,train
11,2721,0,0,130,6,grab,grab,train
12,5115,0,0,130,6,grab,grab,train
13,3860,0,0,130,6,grab,grab,valid
14,1608,0,0,130,6,grab,grab,train
15,891,0,0,130,6,grab,grab,train
16,3770,0,0,130,6,grab,grab,train
17,6685,0,0,130,6,grab,grab,train
18,3442,0,0,130,6,grab,grab,train
19,7488,0,0,130,6,grab,grab,train
20,9721,0,0,130,6,grab,grab,valid
21,4163,0,0,130,6,grab,grab,valid
22,6408,0,0,130,6,grab,grab,train
23,2908,0,0,130,6,grab,grab,train
24,8111,0,0,130,6,grab,grab,train
25,1887,0,0,130,6,grab,grab,train
26,5048,0,0,130,6,grab,grab,train
27,9045,0,0,130,6,grab,grab,train
28,2277,0,0,130,6,grab,grab,train
29,8975,0,0,130,6,grab,grab,train
30,3189,0,0,130,6,grab,grab,train
31,5174,0,0,130,6,grab,grab,train
32,9124,0,0,130,6,grab,grab,train
33,2909,0,0,130,6,grab,grab,train
34,8322,0,0,130,6,grab,grab,valid
35,1102,0,0,130,6,grab,grab,train
36,1407,0,0,130,6,grab,grab,train
37,5256,0,0,130,6,grab,grab,train
38,7105,0,0,130,6,grab,grab,train
39,5317,0,0,130,6,grab,grab,train
40,409,0,0,130,6,grab,grab,train
41,2004,0,0,130,6,grab,grab,train
42,9841,0,0,130,6,grab,grab,train
43,10039,0,0,130,6,grab,grab,train
44,8551,0,0,130,6,grab,grab,train
45,535,0,0,130,6,grab,grab,train
46,5990,0,0,130,6,grab,grab,train
47,1870,0,0,130,6,grab,grab,train
48,4303,0,0,130,6,grab,grab,train
49,6843,0,0,130,6,grab,grab,train
50,1609,0,0,130,6,grab,grab,train
51,1296,0,0,130,6,grab,grab,train
52,2621,0,0,130,6,grab,grab,valid
53,7420,0,0,130,6,grab,grab,train
54,9123,0,0,130,6,grab,grab,train
